,count,hate_speech,offensive_language,neither,class,tweet,
1774,3,0,3,0,1,"&#8220;@dablueprint: @NigelDixon1 Just think if Alex won some games!&#8221; That sorry son of a bitch will never ""win"" us a game",
1775,3,0,3,0,1,&#8220;@daijahshardaee: &#128514;&#128514; @100046729 bitches so late &#128564;&#128129;&#8221; ion exposed &#128514;&#128564;,
1776,6,1,5,0,1,&#8220;@daijahshardaee: I feel sorry for whoever using Alyssa number to play phone games &#128532;&#128080;&#8221; dumb ass hoes who ain't got a life,
1777,3,0,3,0,1,"&#8220;@dappermuke: i'll be a bitch when i have to be a bitch :)

#fandomapology 
#5sosFamAnd1DfandomFollowParty&#8221; PREACH",
1778,3,0,3,0,1,&#8220;@darkkskys: bitches be set hoppin like bitch get your life for u get beat up lmao&#8221;,
1779,4,0,4,0,1,&#8220;@dewayneee_: That pussy so wet she gotta dry outside&#8221;stop telling my business,
1780,3,0,3,0,1,&#8220;@dirtyxluxury: @_Vontethekidd whens homecoming ho?&#8221;&#128553;&#128514; slut the 17th,
1781,3,0,3,0,1,"&#8220;@dlogue22: Asians have short beds, my feet are hanging off the edge of the bed &#128514;&#8221; cuddle me bitch I'm right beside you",
1783,3,1,2,0,1,&#8220;@dnumberbefore2: Congrats to kim k .this a great day for hoes everywhere&#8221;,
1784,3,0,3,0,1,&#8220;@dnumberbefore2: Lol maybe I should give in nd date these hoes on dates&#8221;let me know how that work lol,
1785,3,0,3,0,1,&#8220;@dolodwills: Imma pull up on you eat on that pussy and dip&#8221;,
1786,3,0,3,0,1,&#8220;@dominiloka: If you can't get pussy without lying to a girl you wack&#8221; don't hate. appreciate.,
1787,3,0,3,0,1,&#8220;@dominiloka: My daughter makes me with I wasn't a hoe from age 18-25&#8221; u on a roll tonight,
1788,3,0,3,0,1,&#8220;@dreadHEADkidd69: pussy prolly taste like heaven &#128523;&#8221; &#128079;,
1789,6,0,6,0,1,&#8220;@drphilDONTEhue: Now ma'am ... &#8220;@_PettyCrocker: Every jawn on here been tryna have they pussy cop a feel on Donte's peen&#8221;&#8221;&#128563;,
1790,3,0,3,0,1,&#8220;@drphilDONTEhue: You know idgaf about a woman's lingerie matching when I love hairy pussy so much &#128514;&#8221; &#128567;,
1791,3,1,2,0,1,&#8220;@eminoelle: Why you let these hoes tear what we had right apart&#8221;,
1792,3,0,3,0,1,&#8220;@erickruiz45: I just want the baddest bitch in the world right here on my lap&#8221; @7aidualc9 &#128514;&#128514;&#128514;&#128514;,
1793,3,1,2,0,1,&#8220;@ericwooden21 &#8220;@DrTruth247: Pineapples on sale at publix&#8221;hoes on sale too&#8221;up stairs,
1794,3,0,3,0,1,&#8220;@ericwooden21 I need ran theo and theo HOMIE rocking the cool&#8221; I need some free shit or some hoes,
1795,3,0,3,0,1,&#8220;@eternalhbic: &#8220;@HalfJewish: Stills get no pussy** http://t.co/6uOWecbUQO&#8221; he's jus being rational&#8221; a fag,
1796,3,0,3,0,1,&#8220;@fabbymichelle: @BrianLovesAss_ what class you in right now? I need my headphones for seventh period I'm serious bitch ass.&#8221;ms.Trophenboum,
1797,3,0,3,0,1,&#8220;@fabbymichelle: aw OMG this show made me cry &#128557;&#128557;&#128557;&#128557; I'm such a pussy man&#8221;you really are,
1798,3,0,3,0,1,&#8220;@fabbymichelle: brian stfu &#128548;&#128079; its twitter i could retweet anything&#8221;don't make me bitch slap you again &#128075;,
1800,3,1,2,0,1,"&#8220;@flowerlela: Fucking slut&#8221;

FOREAL, fuck dat bitch.",
1801,3,0,3,0,1,&#8220;@flvshy5: Might go to plaq hc&#8221;bitch who you gone go with,
1802,3,1,2,0,1,"&#8220;@gallinofmilk: I'm a faggot"" I agree",
1803,3,0,3,0,1,"&#8220;@garcialaura_: @Virgilio_LLA I was heartbroken tx inniz ho. Lmao&#8221; haha naw chill, you the one laughing at vdawg",
1804,3,0,3,0,1,&#8220;@garytiffany_: Make the most of what you have.&#8221; Don't tell me what to do bitch,
1806,3,0,3,0,1,&#8220;@girlideas: why do bitches stand like this? &#128563;&#128541; http://t.co/QQ9vQyLru1&#8221; she wanted to be in MJ's smooth criminal video so bad..,
1808,3,0,3,0,1,&#8220;@gmail_candy: It don't matter where we at this nigga always tryna holla at a bitch &#128514;&#128514; @tranSactionRAP&#8221; where. y'all. at?,
1809,3,0,3,0,1,"&#8220;@goodbadguytim: &#8220;@100046729: This bitch Gmfu.&#8221;

You huh?&#8221; Huh lol",
1810,3,0,3,0,1,"&#8220;@hernandezeli_: back then hoes didn't want me, now I'm hot, they all on me.&#8221;",
1811,3,1,2,0,1,"&#8220;@hippiescrub: ""I can believe that wiz khalifa and that one bald bitch are getting divorced ""&#8221;",
1815,6,0,6,0,1,&#8220;@iDisrespectHoez: RT @GodOfMilfs: Single moms got that proven pussy&#8221; LOL fckd up but truuu,
1816,3,0,3,0,1,&#8220;@iDisrespectHoez: RT @JonRaff: Hate when a chick say go deeper when u already dishin out all u got #hoes&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;,
1817,3,1,2,0,1,&#8220;@iDntWearCondoms: Bitch wanna date the flyest nigga then be shocked when he has hoes lol&#8221;,
1818,3,0,3,0,1,&#8220;@iDntWearCondoms: Ladies what if a dude put two hands in your pussy and started clapping?&#8221; Lmaoo,
1819,3,0,3,0,1,&#8220;@iDntWearCondoms: U get what u put in. If all u offering is pussy don't be mad when all u receive is dick&#8221; &#128588;,
1820,3,0,3,0,1,&#8220;@iKayKing: Things hoes say... https://t.co/i9zs1OUd0I&#8221;,
1822,3,1,2,0,1,"&#8220;@iTweet4UglyPpl: &#8220;@KirbyMouf: No one wants an ugly nigga, so you've got him all to yourself. No more stressing over hoes&#8221; &lt;-&#8221; lies !",
1823,3,1,2,0,1,&#8220;@iamSHIRAQ: @WhereYoHussleAt @CayMarieee yall partners in crime&#8221; that's my bitch she can't ride solo,
1824,3,0,3,0,1,&#8220;@iamSHIRAQ: @WhereYoHussleAt u got hoes tho&#8221; WERD &#128066; WHERE &#128064;,
1827,3,0,3,0,1,&#8220;@iank12: @AJDougherty13 no you homo&#8221; sorry I can't be straight like you and pull mad bitches &#128532;,
1828,3,0,3,0,1,&#8220;@iank12: @LTomasiello75 @AJDougherty13 me 3&#8221; you don't even lift pussy,
1829,3,0,3,0,1,&#8220;@iank12: Half tempted to go outside and run my phone over with my car because it's such a piece of shit. #FuckiPhones&#8221; do it pussy,
1830,3,0,3,0,1,&#8220;@inHERribs: is it too early to put your face in some pussy?&#8221; Bul never to early for breakfast,
1831,3,0,3,0,1,"&#8220;@isadore911: @VernNotice what about the doc?&#8221;

He's a pussy. He ain't going anywhere.",
1832,3,0,3,0,1,&#8220;@ithinkthatway: I want my ears to look like this &#128066;&#128149; http://t.co/oBVU5ZN3zC&#8221; I just want this bitches earrings lol &#128513;,
1833,6,1,5,0,1,"&#8220;@itsDeSha__: I don't take people niggas bitches don't play about they niggas , specially they baby daddies &#128557;&#128514;&#128514;&#128514;&#8221;No BS",
1834,3,0,3,0,1,&#8220;@itsWhittyTitty: I used to be that fat bitch everybody made fun of look at me now&#8221; I was made fun of for being ugly &#128589;,
1835,3,0,3,0,1,&#8220;@itsdaniellef: &#128521;&#8221; hoe,
1836,3,0,3,0,1,"&#8220;@itslizkhalifa: If pussy is just pussy to you, you a nasty ass nigga.. Hope you get aids &#128553;&#8221; bit harsh. Rethink that statement",
1837,3,0,3,0,1,&#8220;@jaimescudi_: @Tonybthrz_ @cinndyyxoxo_ @BriannNiloo_ fuck me then bitch&#8221; shut up and roll threw,
1838,3,0,3,0,1,&#8220;@jama_jam I'm not saying I'm for this but .. Studs will fuck trannys but won't let they bitch strap them down you muhfuckas childish lol&#8221;,
1839,3,1,2,0,1,&#8220;@jcash___: @FreeMolly_ @VoiceOfDStreetz &#128077;&#128514;&#128514;&#128514; bitch I was fukkin wicha but fuck you nigga square up&#8221; and I'm fucking with you &#128514;&#128514;&#128076;,
1840,3,0,3,0,1,&#8220;@jcash___: @VoiceOfDStreetz knowing I can picture that hoe in my head&#8221; he good now knocked the wind out that boy &#128514;,
1841,3,0,3,0,1,&#8220;@jcash___: @VoiceOfDStreetz noll nigga I'm Talm bout Tt and juice &#128514;&#128514;&#128514; @FreeMolly_&#8221; me too! Ion hoe Em,
2674,3,0,3,0,1,"@BittyTang not sure. I think most women have self hate therfore collectively ""women are bitches"" becomes their campaign and men follow",
2675,3,0,3,0,1,@BittyTang yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times,
2676,3,0,2,1,1,@BjwalkinRIVERS bro that hoe live,
2677,3,1,2,0,1,@BlaccLaBelle_ &#9786;&#65039;nice Avi lil nigger,
2680,3,0,3,0,1,"@BlackManUSA You're killin' me man! &lt;3 Not all conservatives are racists, just like not all NBP hate honkies.",
2681,3,0,3,0,1,"@Black_Angelo25 chill cuz you'll regret it bro, your hitting that hoe rn why quit?",
2683,3,0,3,0,1,"@BlackberryTroll Blah. If people are determined to think of you as a condescending bitch, it's their loss.",
2685,3,0,3,0,1,"@Blackman38Tide Ha bitch, I'm pickin' up beach babes left n right on the West Coast http://t.co/lDXNpohLyD",
2689,3,0,3,0,1,@BlakeAnderson21 Rollin coal bitches ready to blow ready set GO!,
2691,3,0,2,1,1,@BlakeAnderson21@dalton_ryann @justinmiculka01 bitch got the crew hype an still got her ass beat tonight should have brought him to us,
2692,6,1,5,0,1,"@BlakkHoodie_562 always eatin good wit my niggah, and good lookin on the cd my boy got some heat now i can bump some bangers",
2693,3,1,2,0,1,@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately,
2694,3,0,3,0,1,"@BlakkHoodie_562 yeah that niggah played good, lowkey i wanted brazil to win",
2695,3,0,3,0,1,@BlizzyLC now that ur tour over come kick it with ya nig in the MIA....,
2696,3,0,3,0,1,@BloggerBoxing @Studhardt22 the Jacob and Joshua picks have been very similar. As the love for faggot Ruslan as well #2accountsGate,
2699,3,0,3,0,1,@BloodOfJupiter yeah...bitch!,
2700,3,1,2,0,1,@Blue_DreamMN @ExpectoMichaela seriously.. After that first conversation on your status he fb messaged me calling me a fag lololol,
2702,3,0,3,0,1,@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket fuck off bitch.,
2703,3,1,2,0,1,"@BobbyBotsods @FuckTheMallcops @UncleUnco @MrMooncricket ur weird, racist bitch.",
2704,3,1,2,0,1,@BobbyBotsods @MrMooncricket @FuckTheMallcops @UncleUnco no u eat it inbred trailer trash.,
2705,3,0,3,0,1,@BobbyRosee Let the hoes tell it man..,
2707,3,0,3,0,1,@BodyByMalone Lesson 12 don't pass out at before 12 like a lil bitch,
2708,3,0,3,0,1,@Bojieasx slap a taco in thT hoe face &#128514;&#128514;&#128514;&#9996;&#65039;&#128080;&#128074;&#128175;&#128536;&#128584;&#128129;,
2710,3,0,3,0,1,"@Bombfantasyyy @Angela_Mastr lmao angela you look like a damn potato bitch, keep talkin",
2714,3,0,3,0,1,@Boobah_ awnser the phone pussy,
2717,3,0,3,0,1,@Borgore pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy,
2718,3,0,3,0,1,@BosleyXavier I trip on acid not bitches.,
2721,3,1,2,0,1,@Bossman_Carl lmaooo naw nigga imma stay right in your mentions hoe,
2722,3,0,3,0,1,@Bossman_Carl nigga I didn't have no change.yall some hoes for Tryna shoot know y'all can't shoot,
2723,3,0,3,0,1,@Bossman_Carl wake your ass up hoe,
2724,3,1,2,0,1,@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,
2725,3,0,2,1,1,@BradMich4Real thats shit gon be the death of these hoes...ion like it...,
2726,3,0,2,1,1,@BrandNewAndrew lmaooo roosters is hot trash bro u know it,
2727,3,0,3,0,1,@Brandi_Nicolee get that degree first bitch,
2728,3,0,3,0,1,@BranninWGL I'll say it for you.. Do ya woman want you on the couch in plain sight or outchea with these bitches? Simple.,
2729,3,0,3,0,1,@BranninWGL describing New Pussy like a Baltimore Love Thing out this bitch.,
2730,3,0,3,0,1,@BraveConWarrior She is a bitch ! This mess is all BO's fault! ALL OF IT!,
2732,3,0,3,0,1,@BreadTruckkBri I know I was playing that hoe start on the 20 tho,
2734,3,1,2,0,1,@BreesInDaCut you got some hoes here yet?,
2735,3,0,3,0,1,@BreezyPetey at least he went up and wasn't a bitch,
2738,3,0,3,0,1,@BrendaGisselCA I'm not Mexican enough for the real beaners yet too Mexican for the Americanized beaners :(,
2739,3,0,3,0,1,@BrendaGisselCA that you got hoes damn,
2740,3,0,3,0,1,@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit,
2741,3,0,3,0,1,@BrendanSchaub @TimTebow ugh your with Tebow? You're officially a fag now and in followed.,
2744,3,0,3,0,1,@BretVonDehl @com_lowery Can I beat this bitch up?? Seriously....what a bitch,
2745,3,1,2,0,1,"@BretVonDehl Damn you bitch you never answer me anymore... LMAO JK ILY! Anyway glad of your first show, be safe when going to the next one",
2746,3,0,3,0,1,@BretVonDehl YOUNOW is a fucking bitch... Shit load of hate on there when I did my first broadcast,
2752,6,0,6,0,1,@Briscoefunnyguy @_KaeeJones I gotta see that hoe in person cause I'm sleeping on that hoe for now,
2753,3,0,3,0,1,@Briscoefunnyguy @_KaeeJones da fuck that hoe look sad,
2754,3,0,3,0,1,@Briscoefunnyguy lol he still a lil bitch,
2756,3,0,3,0,1,"@BroadwayMensa hoes not women, like to be the center of attention",
2757,3,1,2,0,1,"@BrocktonBitch 
We niggas like fuckin roaches. Let one in and you hot dam infested. You a crazy bitch. I dig yo ass",
2758,3,1,2,0,1,@BrodyWayneLyles these kids are pussies. We got a white trash kid &amp; a ThugNasty wanna be up in here &#128514;,
2759,3,0,3,0,1,@BrotherDiabeats take your queer ass dubstep out of here,
2760,3,0,2,1,1,"@Brutal_Brandy We had a Pacer in the 70s &amp; I 'member loving when ""Hair of the Dog"" came on the quadraphonic stereo so I could say ""bitch""lol",
2761,3,0,3,0,1,@BryanBalsamo lmao u ain't a savage &#128514;&#128514; these hoes for everybody,
2764,3,0,3,0,1,@Buckm00se @DaRealAlexInLA I didn't spoil anything &amp; you should have been watched it nigger nig nog,
2769,3,0,3,0,1,@Buckm00se all I remember was the fat bitch stealing the KFC bucket &amp; hauling ass,
2771,3,0,3,0,1,@Buckm00se post the bid where you tell that nig to use the jab,
2773,3,0,3,0,1,"@Buffalodave1 @BretVonDehl @AlexFoxx13 @brandonkilexxx @JCCharles8 @TylerGloyd Wait,wait,wait, The new one or the EP?Son of a bitch Lucky ;)",
2774,3,1,2,0,1,@Bullskickass I've decided that #BullsNation are retarded. #love,
2777,3,0,3,0,1,@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?,
2779,3,0,3,0,1,@C0MMONLY @scorpiogans93 @EcliptiK pussies,
2788,9,2,6,1,1,"@CDNBallJunkie I jus wanna let you know OKC trash, IBAKA ain't shit, y'all ain't goin nowhere without Harden",
2789,9,0,9,0,1,"@CDNBallJunkie Spurs bitch that's the team, you dont want no problems",
2791,3,1,2,0,1,"@CHARLESBARRKLEY you need your ass whipped with a whip Mr house nigger, remember u will always b a nigger to them!",
2792,3,0,3,0,1,@CHILDISHCUDl @CheefPolo bitch mind your business,
2793,3,0,3,0,1,@CMBGaming11 @BeechHD oh you mean like how you started to be a cunt to JP about something that has nothing to do with you?,
2794,3,0,3,0,1,@CM_UTLR your man looks terrified in that picture. Do you beat him? Or just treat him like a regular bitch?,
2797,3,0,3,0,1,"@COK3COKE Now, mfa don't wanna spend a dime wit em. Prolly out here yelling money over bitches.",
2798,3,0,3,0,1,@CR4ZYF0RU I just really miss you and I know we can drink it off and talk about all of our problems like basic bitches,
2799,3,1,2,0,1,@CRYaboutitNIGGA waddup doe Lil nicca,
2800,3,0,3,0,1,@CSNChicago Punk ass bitch. #BullsTalk,
2801,3,0,3,0,1,@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,
2802,3,0,3,0,1,@CSalazar_04 press start bitch &#128529;,
2803,3,1,2,0,1,@C_janacek07 @Nick_504_ a fucking verse from Don trip bitch stop assuming shit,
2804,3,0,3,0,1,@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:,
2805,3,0,3,0,1,@CaelanG15 that nigga was eating that hoe lol,
2806,3,0,3,0,1,@Caliqueeen14 you da realest bitch out here Amber,
2807,3,0,3,0,1,@CallME__Jetson hoe ass nigga. &#128529;,
2808,3,0,3,0,1,@CallMeBuffy sockin bitches in they mouf,
2809,3,1,2,0,1,@CallMeDaishaa ghetto ass Pocahontas .,
2810,6,1,5,0,1,@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit,
2811,3,0,3,0,1,@CallMeRenee_ @lilmenifee__ wussup bitch,
2812,3,0,3,0,1,@CallMeRenee_ bitch im too mad im finna throw this bitch outside,
2813,3,0,3,0,1,@CallMeRenee_ bitch u 1,
2814,3,0,3,0,1,@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,
2815,3,1,2,0,1,@CallMeRenee_ dam bitch,
2816,6,0,5,1,1,@CallMeRenee_ wussup bitch,
2817,3,0,3,0,1,"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao",
2818,3,0,3,0,1,@CallNeeshCakey &#128514;&#128514; bitches aint shit,
2819,3,0,3,0,1,@CallNeeshCakey I can't bitch,
2820,3,0,3,0,1,@CallNeeshCakey bitch I know stfu &#128514;,
2823,3,0,3,0,1,@CallNeeshCakey to lay up w my bitch,
2824,3,0,3,0,1,@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it,
2826,3,1,2,0,1,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",
2828,3,0,3,0,1,@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt,
2830,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too,
2831,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit,
2832,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em,
2833,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning,
2834,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,
2835,3,0,3,0,1,@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate,
2836,6,0,6,0,1,@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet,
2837,6,1,5,0,1,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap,
2838,3,0,3,0,1,@CapoDaAssHole lol that hoe for 5yr old,
2839,6,0,5,1,1,@CapoDaAssHole naw where can I see that hoe at,
2840,3,0,3,0,1,@CapoDaAssHole wiz had a warrant like a bitch,
2841,3,0,3,0,1,@CapoDaAssHole yea he coming back him big rod doing something for that hoe,
2842,3,0,3,0,1,@CaptElliott NFN you bitch to much.,
2843,9,2,7,0,1,"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced",
2844,3,1,2,0,1,@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL,
2845,6,1,5,0,1,"@CarelessOne92 he a real nigga tho, that bitch know her place",
2846,3,0,3,0,1,"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake",
2847,6,0,6,0,1,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout",
2849,3,0,3,0,1,"@CarlaFinch What can I say, Im a stubborn son of a bitch.",
2851,3,1,2,0,1,@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha,
2852,3,0,3,0,1,@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt,
2854,3,0,2,1,1,@Cashhaddict Damn i wanted to buy that bitch that shit was tough,
2855,3,0,3,0,1,@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe,
2856,6,0,6,0,1,@CassiusClay_232 Lebron brought the bitch down to his knees chill,
2857,3,0,3,0,1,@CassiusClay_232 who all in that hoe,
2859,3,1,2,0,1,@CayMarieee bitch,
2860,3,0,3,0,1,@CayMarieee bitch I'm not coming no more you said your making plans !,
2861,3,0,3,0,1,@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;,
2862,3,0,3,0,1,@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn,
2863,3,0,3,0,1,@CayMarieee bitch you NOT either bye &#128514;,
2864,3,0,3,0,1,@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;,
2865,3,0,3,0,1,@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;,
2866,3,0,3,0,1,@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;,
2868,3,0,3,0,1,"@CdashRay ""she's wearing the same shirt, what a bitch.""",
2870,3,1,2,0,1,@CeeNCrumpets self low down black bitch?,
2871,3,0,2,1,1,@CeeRoss negro please...I got a job now lmao,
2872,4,0,4,0,1,@CeeRoss shoulda told her yeah if I can take you home for pussy lol,
2873,3,0,3,0,1,@Cee_Murda94 bitch bye you can't get it,
2874,3,0,3,0,1,@Cee_Murda94 bitch is you drunk or nah,
2875,3,0,3,0,1,@Cee_Murda94 it's almost ya fucking birthday. So act right niglet,
2878,3,0,3,0,1,@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?,
2880,3,0,3,0,1,@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64,
2881,3,0,3,0,1,@Cesar_K_Garcia text me niggah!,
2882,3,1,2,0,1,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife,
2889,3,1,2,0,1,@ChandailBailey way to delete your tweets you stanky bitch,
2890,3,0,3,0,1,@Channnteeel pussy,
2893,3,0,3,0,1,@CharlesBWaffle these bitches need guidance.,
2897,3,1,2,0,1,@CharlseyKay Homeee fag,
2898,3,0,3,0,1,@ChaseBasford @justinbieber I was 200 bitch,
2900,3,1,2,0,1,@ChaseManhatttan you become retarded,
2904,3,0,2,1,1,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:,
2906,3,1,2,0,1,@CheyenneDoan cause hes a faggot,
2907,4,0,4,0,1,"@Chicago_Rose1 Dunleavy, my cracker ass honkie",
2909,3,0,3,0,1,@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca,
2910,3,0,2,1,1,@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9,
2913,3,1,2,0,1,@Chokmah_Makob ok! you billy goat hair hillbilly,
2914,3,1,2,0,1,@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood,
2915,3,0,3,0,1,@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong,
2916,3,0,3,0,1,@ChrisMcDowell_ dont be a bitch.,
2917,3,1,2,0,1,@ChrisMcDowell_ pussy ass nigga.,
2918,3,1,2,0,1,@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches,
2919,3,0,3,0,1,"@ChrisProbst11 @thorsyndirgard @peta 
Right in the pussy",
2924,3,0,3,0,1,@ChristyMack fugly bitch john will dump ur ratchet ass,
2925,3,1,2,0,1,@ChristyMack ugly flat chested prude ass white bitch,
2926,3,1,2,0,1,"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?",
2927,6,1,4,1,1,@Chykalet naw u just retarded kinfolk lol,
2928,3,0,3,0,1,@CinWicked Did you just call My Sweet Baboo a ho?!?!,
2929,6,0,6,0,1,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh,
2930,3,0,3,0,1,"@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim, 5 these hoes out here doing that in a week",
2931,3,1,2,0,1,"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",
2933,3,0,3,0,1,@ClicquotSuave I would dead upper cut that bitch,
2934,3,0,3,0,1,@ClicquotSuave maas mermaid and sharkette pussy,
2935,3,0,3,0,1,@ClicquotSuave my nigga what her pussy smell like?,
2937,3,0,3,0,1,@ClutchAction c'mon pussy,
2941,3,0,3,0,1,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.,
2943,3,1,2,0,1,@ColeMcDowell2 someone sent this to me months ago bitch,
2944,3,0,3,0,1,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch,
2945,3,0,3,0,1,@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow,
2946,3,0,3,0,1,@Coley_Cee bitch dats yo sahara desert ass,
2947,3,0,3,0,1,@Coley_Cee bitch do I look white to u,
2948,3,1,2,0,1,@Coley_Cee bitch kill yo self,
2949,3,0,3,0,1,@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch,
2950,3,0,3,0,1,@Coley_Cee bitch watch tf out u on moose meat now,
2951,3,0,3,0,1,@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch,
2952,3,1,2,0,1,@Coley_Cee fuck u u dumb ass bitch hoe,
2953,3,0,3,0,1,@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang,
2954,3,0,3,0,1,@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz,
2955,3,0,3,0,1,@Coley_Cee yes bitch I do realize dat,
2956,3,0,3,0,1,@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh,
3695,3,0,3,0,1,@JaiBrooks1 ugly goldigging cunt u probably have an uncircumcised penis faggot,
3697,6,0,6,0,1,@JalenDGAF @CourtniClark &#128308;&#9899;&#65039;&#128308;&#9899;&#65039;&#128308;&#9899;&#65039; no pressure hoe,
3698,3,0,3,0,1,"@Jalenhendricks4 hoes saying ""eyebrows on fleek"" .. Search it on twitter",
3699,3,0,3,0,1,"@JamesOKeefeIII @jdhayworth James, nobody (save a couple illiterate, inbred teabagger morons) gives a flying fuck about your ""revelations.""",
3702,3,0,3,0,1,@JamesyNBA damn your bitch really hoe'n for the F!!,
3705,3,1,2,0,1,@JaneyPew nigger you are bigger than I am. Do you even #R4aperSec ?,
3706,3,0,2,1,1,"@JarJar_Banks momma didn't raise no sukka, bitch!",
3707,3,0,2,1,1,@JaredReve use monkey maker you prick!,
3708,3,0,3,0,1,@JasonAstley I hate that shit. Like bitch don't ask me for shit makin me waste my time and your dumb ass ain't even using it.,
3710,3,0,3,0,1,@JavelinaBlue @mdjacksondallas @KennettDems yep. Texas is redneck heaven.,
3711,3,0,3,0,1,@JavieTheCreator @its_selenaaaa haha yuhh that hoe was funny,
3712,3,0,3,0,1,@JavieTheCreator stank ass hoes haha,
3713,3,0,3,0,1,@JawShoeeAhhh *bitch,
3714,3,0,3,0,1,@JawShoeeAhhh @FabianMleal fuck you bitch lol,
3715,3,0,3,0,1,@JawShoeeAhhh @FabianMleal shut up bitch,
